iter	Passed	Remaining
561	3117	2429
562	3121	2422
563	3125	2415
564	3128	2408
565	3132	2402
566	3136	2395
567	3140	2388
568	3144	2381
569	3147	2374
570	3151	2367
571	3156	2361
572	3159	2354
573	3163	2347
574	3167	2340
575	3171	2334
576	3176	2328
577	3180	2322
578	3184	2315
579	3189	2309
580	3192	2302
581	3197	2296
582	3200	2289
583	3205	2283
584	3208	2276
585	3212	2269
586	3215	2262
587	3219	2255
588	3223	2249
589	3228	2243
590	3232	2237
591	3236	2230
592	3240	2224
593	3244	2217
594	3248	2211
595	3253	2205
596	3256	2198
597	3260	2191
598	3263	2185
599	3267	2178
600	3272	2172
601	3276	2166
602	3280	2159
603	3283	2152
604	3288	2147
605	3292	2140
606	3295	2133
607	3299	2127
608	3304	2121
609	3307	2114
610	3311	2108
611	3315	2101
612	3319	2095
613	3323	2089
614	3326	2082
615	3330	2076
616	3334	2070
617	3338	2063
618	3342	2057
619	3345	2050
620	3349	2044
621	3353	2038
622	3357	2031
623	3361	2025
624	3365	2019
625	3371	2014
626	3375	2007
627	3379	2001
628	3385	1996
629	3388	1990
630	3392	1983
631	3396	1977
632	3401	1972
633	3405	1966
634	3409	1959
635	3413	1953
636	3417	1947
637	3420	1940
638	3424	1934
639	3427	1928
640	3432	1922
641	3436	1916
642	3439	1909
643	3443	1903
644	3447	1897
645	3451	1891
646	3455	1885
647	3458	1878
648	3462	1872
649	3468	1867
650	3471	1861
651	3475	1855
652	3480	1849
653	3484	1843
654	3488	1837
655	3492	1831
656	3497	1825
657	3501	1820
658	3505	1814
659	3510	1808
660	3514	1802
661	3517	1796
662	3521	1790
663	3525	1783
664	3530	1778
665	3535	1772
666	3538	1766
667	3542	1760
668	3548	1755
669	3552	1749
670	3555	1743
671	3559	1737
672	3566	1733
673	3570	1726
674	3574	1720
675	3579	1715
676	3586	1711
677	3590	1705
678	3595	1699
679	3599	1693
680	3602	1687
681	3606	1681
682	3610	1675
683	3614	1669
684	3618	1663
685	3621	1657
686	3626	1652
687	3629	1646
688	3633	1640
689	3637	1634
690	3642	1628
691	3646	1623
692	3650	1617
693	3654	1611
694	3658	1605
695	3662	1599
696	3666	1593
697	3670	1587
698	3675	1582
699	3679	1576
700	3682	1570
701	3686	1564
702	3691	1559
703	3695	1553
704	3698	1547
705	3702	1541
706	3706	1536
707	3710	1530
708	3714	1524
709	3717	1518
710	3721	1512
711	3725	1506
712	3729	1501
713	3732	1495
714	3738	1489
715	3743	1484
716	3748	1479
717	3751	1473
718	3756	1468
719	3760	1462
720	3766	1457
721	3770	1451
722	3775	1446
723	3781	1441
724	3785	1435
725	3789	1430
726	3792	1424
727	3796	1418
728	3800	1412
